English;cleanedEnglish;Positiv;Negativ;Wut;Vorfreude;Ekel;Furcht;Freude;Traurigkeit;Ueberraschung;Vertrauen;;;;;;;;;;
Abstraktion;Abstraktion;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
absurd;absurd;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;
Absurdität;Absurditaet;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;
Fülle;Fuelle;1;1;0;1;1;0;1;0;0;1;;;;;;;;;;
reichlich;reichlich;1;0;0;0;0;0;1;0;0;0;;;;;;;;;;
Missbrauch;Missbrauch;0;1;1;0;1;1;0;1;0;0;;;;;;;;;;
Widerlager;Widerlager;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
ab;ab;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
miserabel;miserabel;0;1;0;0;0;0;0;1;0;0;;;;;;;;;;
Abgrund;Abgrund;0;1;0;0;0;1;0;1;0;0;;;;;;;;;;
akademisch;akademisch;1;0;0;0;0;0;0;0;0;1;;;;;;;;;;
Akademie;Akademie;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;
beitreten;beitreten;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
beschleunigen;beschleunigen;0;0;0;1;0;0;0;0;0;0;;;;;;;;;;
Beschleunigung;Beschleunigung;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Akzent;Akzent;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
akzentuieren;akzentuieren;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
annehmen;annehmen;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
akzeptabel;akzeptabel;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Annahme;Annahme;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Zugang;Zugang;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
zugänglich;zugaenglich;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Beitritt;Beitritt;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Zubehörteil;Zubehoerteil;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Unfall;Unfall;0;1;0;0;0;1;0;1;1;0;;;;;;;;;;
zufällig;zufaellig;0;1;0;0;0;1;0;0;1;0;;;;;;;;;;
versehentlich;versehentlich;0;0;0;0;0;0;0;0;1;0;;;;;;;;;;
Akkolade;Akkolade;1;0;0;1;0;0;1;0;1;1;;;;;;;;;;
unterbringen;unterbringen;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Unterkunft;Unterkunft;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Begleitung;Begleitung;1;0;0;1;0;0;1;0;0;1;;;;;;;;;;
begleiten;begleiten;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Begleitet;Begleitet;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
der Mitschuldige;der Mitschuldige;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
erreichen;erreichen;1;0;0;0;0;0;1;0;0;0;;;;;;;;;;
vollendet;vollendet;1;0;0;0;0;0;1;0;0;0;;;;;;;;;;
Leistung;Leistung;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Übereinstimmung;Uebereinstimmung;1;0;0;0;0;0;0;0;0;1;;;;;;;;;;
entsprechend;entsprechend;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Akkordeon;Akkordeon;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Konto;Konto;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;
Rechenschaftspflicht;Rechenschaftspflicht;1;0;0;0;0;0;0;0;0;1;;;;;;;;;;
verantwortlich;verantwortlich;1;0;0;0;0;0;0;0;0;1;;;;;;;;;;
Buchhalter;Buchhalter;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;
Buchhaltung;Buchhaltung;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Konten;Konten;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;
akkreditiert;akkreditiert;1;0;0;0;0;0;0;0;0;1;;;;;;;;;;
Akkretion;Akkretion;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
anfallen;anfallen;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
accueil;accueil;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;
akkumulieren;akkumulieren;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Akkumulation;Akkumulation;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Richtigkeit;Richtigkeit;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
genau;genau;1;0;0;0;0;0;0;0;0;1;;;;;;;;;;
verflucht;verflucht;0;1;1;0;0;1;0;1;0;0;;;;;;;;;;
Anklage;Anklage;0;1;1;0;1;0;0;0;0;0;;;;;;;;;;
Akkusativ;Akkusativ;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;
beschuldigt;beschuldigt;0;1;1;0;0;1;0;0;0;0;;;;;;;;;;
Ankläger;Anklaeger;0;1;1;0;0;1;0;0;0;0;;;;;;;;;;
anklagend;anklagend;0;1;1;0;0;1;0;0;0;0;;;;;;;;;;
gewohnt;gewohnt;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
As;As;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Essig;Essig;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
schmerzen;schmerzen;0;1;0;0;0;0;0;1;0;0;;;;;;;;;;
erreichen;erreichen;1;0;0;0;0;0;1;0;0;1;;;;;;;;;;
Leistung;Leistung;1;0;0;1;0;0;1;0;0;1;;;;;;;;;;
Schmerz;Schmerz;0;1;0;0;0;0;0;1;0;0;;;;;;;;;;
Säure;Saeure;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;
Säure;Saeure;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
anerkennen;anerkennen;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
anerkannt;anerkannt;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Wissen;Wissen;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Gipfel;Gipfel;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
akustisch;akustisch;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Akustik;Akustik;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
kennen;kennen;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Bekanntschaft;Bekanntschaft;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
bekannt;bekannt;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Einwilligung;Einwilligung;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
erwerben;erwerben;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;
erwerben;erwerben;1;0;0;1;0;0;0;0;0;0;;;;;;;;;;
Erwerb;Erwerb;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Akquisitionen;Akquisitionen;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Anbaufläche;Anbauflaeche;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Hektar;Hektar;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Akrobat;Akrobat;1;0;0;0;0;1;1;0;0;1;;;;;;;;;;
Handlung;Handlung;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Schauspielkunst;Schauspielkunst;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Aktion;Aktion;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;
umsetzbar;umsetzbar;0;1;1;0;1;0;0;0;0;0;;;;;;;;;;
aktiv;aktiv;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Aktivität;Aktivitaet;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Schauspieler;Schauspieler;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
tatsächlich;tatsaechlich;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Wirklichkeit;Wirklichkeit;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Aktuar;Aktuar;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Schärfe;Schaerfe;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Scharfsinn;Scharfsinn;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Akupunktur;Akupunktur;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
akut;akut;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Sprichwort;Sprichwort;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
unnachgiebig;unnachgiebig;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
sich anpassen;sich anpassen;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;
anpassungsfähig;anpassungsfaehig;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;
hinzufügen;hinzufuegen;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
hinzugefügt;hinzugefuegt;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Nachtrag;Nachtrag;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Addierer;Addierer;0;1;1;0;1;1;0;1;0;0;;;;;;;;;;
Sucht;Sucht;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;
Zusatz;Zusatz;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
zusätzlich;zusaetzlich;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Zusatzstoff;Zusatzstoff;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
die Anschrift;die Anschrift;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Adressat;Adressat;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Adressen;Adressen;1;0;0;1;0;0;0;0;0;0;;;;;;;;;;
geschickt;geschickt;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Angemessenheit;Angemessenheit;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;
angemessen;angemessen;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
haften;haften;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Adhärenz;Adhaerenz;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Anhänger;Anhaenger;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
haftend;haftend;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;
Adhäsion;Adhaesion;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Klebstoff;Klebstoff;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Adieu;Adieu;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
fett;fett;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;
Nachbarschaft;Nachbarschaft;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
benachbart;benachbart;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Adjektiv;Adjektiv;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
angrenzend;angrenzend;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
vertagen;vertagen;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Unterbrechung;Unterbrechung;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
entscheiden;entscheiden;0;1;0;0;0;1;0;0;0;0;;;;;;;;;;
Entscheidung;Entscheidung;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Zusatz;Zusatz;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;
anpassen;anpassen;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Einstellung;Einstellung;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Hilfsstoff;Hilfsstoff;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
verwalten;verwalten;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Verwaltung;Verwaltung;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
administrativ;administrativ;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;
bewundernswert;bewundernswert;1;0;0;0;0;0;1;0;0;1;;;;;;;;;;
Admiral;Admiral;1;0;0;0;0;0;0;0;0;1;;;;;;;;;;
Admiralität;Admiralitaet;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Eintritt;Eintritt;1;0;0;0;0;0;1;0;0;1;;;;;;;;;;
bewundern;bewundern;1;0;0;0;0;0;0;0;0;1;;;;;;;;;;
Bewunderer;Bewunderer;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Zulässigkeit;Zulaessigkeit;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
zulässig;zulaessig;1;0;0;0;0;0;0;0;0;1;;;;;;;;;;
Eintritt;Eintritt;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
zugeben;zugeben;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Zulassung;Zulassung;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
zugelassen;zugelassen;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
zugeben;zugeben;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Beimischung;Beimischung;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Ermahnung;Ermahnung;0;1;0;0;0;1;0;0;0;0;;;;;;;;;;
umständlich;umstaendlich;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Adobe;Adobe;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Jugend;Jugend;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Jugendlicher;Jugendlicher;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
adoptieren;adoptieren;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Annahme;Annahme;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
bezaubernd;bezaubernd;1;0;0;0;0;0;1;0;0;0;;;;;;;;;;
Anbetung;Anbetung;1;0;0;0;0;0;1;0;0;1;;;;;;;;;;
verehren;verehren;1;0;0;1;0;0;1;0;0;1;;;;;;;;;;
schmücken;schmuecken;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Schmuck;Schmuck;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
treiben;treiben;0;1;0;1;0;1;0;1;0;0;;;;;;;;;;
Erwachsene;Erwachsene;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
verfälscht;verfaelscht;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;
Ehebruch;Ehebruch;0;1;0;0;1;0;0;1;0;0;;;;;;;;;;
Vorauszahlung;Vorauszahlung;1;0;0;1;0;1;1;0;1;0;;;;;;;;;;
fortschrittlich;fortschrittlich;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Förderung;Foerderung;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;
fortschreitend;fortschreitend;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Vorteil;Vorteil;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;
vorteilhaft;vorteilhaft;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Advent;Advent;1;0;0;1;0;0;1;0;0;1;;;;;;;;;;
Abenteuer;Abenteuer;1;0;0;1;0;0;0;0;0;0;;;;;;;;;;
Abenteurer;Abenteurer;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
abenteuerlich;abenteuerlich;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Gegner;Gegner;0;1;1;0;0;0;0;0;0;0;;;;;;;;;;
nachteilig;nachteilig;0;1;1;0;1;1;0;1;0;0;;;;;;;;;;
Unglück;Unglueck;0;1;1;0;0;1;0;1;0;0;;;;;;;;;;
werben;werben;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Anzeige;Anzeige;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Rat;Rat;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;
ratsam;ratsam;1;0;0;0;0;0;0;0;0;1;;;;;;;;;;
beraten;beraten;1;0;0;0;0;0;0;0;0;1;;;;;;;;;;
geraten;geraten;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;
Beratung;Beratung;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Berater;Berater;1;0;0;0;0;0;0;0;0;1;;;;;;;;;;
Interessenvertretung;Interessenvertretung;1;0;1;1;0;0;1;0;0;1;;;;;;;;;;
Fürsprecher;Fuersprecher;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;
Ägide;Aegide;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Belüftung;Belueftung;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Antenne;Antenne;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Flugplatz;Flugplatz;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Aerodynamik;Aerodynamik;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Luftfahrt;Luftfahrt;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Flugzeug;Flugzeug;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
ästhetisch;aesthetisch;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Ästhetik;Aesthetik;1;0;0;0;0;0;1;0;0;0;;;;;;;;;;
Ätiologie;Aetiologie;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
weit;weit;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
freundlich;freundlich;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Affäre;Affaere;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
beeinflussen;beeinflussen;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Zuneigung;Zuneigung;1;0;0;0;0;0;1;0;0;1;;;;;;;;;;
Neigungen;Neigungen;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
affiche;affiche;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
eidesstattliche Erklärung;eidesstattliche Erklaerung;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
angeschlossen;angeschlossen;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Zugehörigkeit;Zugehoerigkeit;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Affinität;Affinitaet;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
bestätigen;bestaetigen;1;0;0;0;0;0;0;0;0;1;;;;;;;;;;
Bejahung;Bejahung;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;
positiv;positiv;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;
bejahend;bejahend;1;0;0;0;0;0;0;0;0;1;;;;;;;;;;
Affix;Affix;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
quälen;quaelen;0;1;0;0;0;1;0;1;0;0;;;;;;;;;;
geplagt;geplagt;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;
Gebrechen;Gebrechen;0;1;0;0;1;1;0;1;0;0;;;;;;;;;;
Wohlstand;Wohlstand;1;0;0;0;0;0;1;0;0;0;;;;;;;;;;
wohlhabend;wohlhabend;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;
sich leisten;sich leisten;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Beleidigung;Beleidigung;0;1;1;0;1;1;0;1;1;0;;;;;;;;;;
weg;weg;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Vor;Vor;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
vorgenannten;vorgenannten;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
oben gesagt;oben gesagt;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
besorgt;besorgt;0;1;0;0;0;1;0;0;0;0;;;;;;;;;;
erneut;erneut;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
achtern;achtern;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Nachwirkungen;Nachwirkungen;0;1;1;0;1;1;0;1;0;0;;;;;;;;;;
Nachmittag;Nachmittag;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Nachgeschmack;Nachgeschmack;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;
nachträglich;nachtraeglich;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Aga;Aga;1;0;0;0;0;1;0;0;0;1;;;;;;;;;;
Achat;Achat;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
das Alter;das Alter;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
alt;alt;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Agentur Agentur;Agentur Agentur;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Agent;Agent;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Agglomeration;Agglomeration;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
verschärft;verschaerft;0;1;1;0;0;0;0;0;0;0;;;;;;;;;;
erschwerend;erschwerend;0;1;1;0;0;0;0;1;0;0;;;;;;;;;;
Verschlimmerung;Verschlimmerung;0;1;1;0;1;0;0;0;0;0;;;;;;;;;;
Aggregat;Aggregat;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Anhäufung;Anhaeufung;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Aggression;Aggression;0;1;1;0;0;1;0;0;0;0;;;;;;;;;;
aggressiv;aggressiv;0;1;1;0;0;1;0;0;0;0;;;;;;;;;;
Aggressor;Aggressor;0;1;1;0;0;1;0;0;0;0;;;;;;;;;;
entsetzt;entsetzt;0;1;0;0;1;1;0;0;1;0;;;;;;;;;;
agil;agil;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Beweglichkeit;Beweglichkeit;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;
agitiert;agitiert;0;1;1;0;0;0;0;0;0;0;;;;;;;;;;
Agitation;Agitation;0;1;1;0;0;0;0;0;0;0;;;;;;;;;;
agnostisch;agnostisch;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
vor;vor;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
quälend;quaelend;0;1;0;0;0;1;0;0;0;0;;;;;;;;;;
Agonie;Agonie;0;1;1;0;0;1;0;1;0;0;;;;;;;;;;
zustimmen;zustimmen;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;
angenehm;angenehm;1;0;0;0;0;0;0;0;0;1;;;;;;;;;;
einverstanden;einverstanden;1;0;0;0;0;0;0;0;0;1;;;;;;;;;;
einverstanden;einverstanden;1;0;0;0;0;0;0;0;0;1;;;;;;;;;;
Zustimmung;Zustimmung;1;0;0;0;0;0;0;0;0;1;;;;;;;;;;
landwirtschaftlich;landwirtschaftlich;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Landwirtschaft;Landwirtschaft;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;
auf Grund;auf Grund;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;
agua;agua;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
voraus;voraus;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;
