Englisch;Positiv;Negativ;Wut;Vorwegnahme;Der Ekel;Furcht;Freude;Traurigkeit;Überraschung;Vertrauen
entsprechend;0;0;0;0;0;0;0;0;0;0
Akkordeon;0;0;0;0;0;0;0;0;0;0
Konto;0;0;0;0;0;0;0;0;0;1
Rechenschaftspflicht;1;0;0;0;0;0;0;0;0;1
verantwortlich;1;0;0;0;0;0;0;0;0;1
Buchhalter;0;0;0;0;0;0;0;0;0;1
Buchhaltung;0;0;0;0;0;0;0;0;0;0
Konten;0;0;0;0;0;0;0;0;0;1
akkreditiert;1;0;0;0;0;0;0;0;0;1
Akkretion;0;0;0;0;0;0;0;0;0;0
anfallen;0;0;0;0;0;0;0;0;0;0
accueil;1;0;0;0;0;0;0;0;0;0
akkumulieren;0;0;0;0;0;0;0;0;0;0
Akkumulation;0;0;0;0;0;0;0;0;0;0
Richtigkeit;0;0;0;0;0;0;0;0;0;0
genau;1;0;0;0;0;0;0;0;0;1
verflucht;0;1;1;0;0;1;0;1;0;0
Anklage;0;1;1;0;1;0;0;0;0;0
Akkusativ;0;1;0;0;0;0;0;0;0;0
beschuldigt;0;1;1;0;0;1;0;0;0;0
Ankläger;0;1;1;0;0;1;0;0;0;0
anklagend;0;1;1;0;0;1;0;0;0;0
gewohnt;0;0;0;0;0;0;0;0;0;0
As;1;0;0;0;0;0;0;0;0;0
Essig;0;0;0;0;0;0;0;0;0;0
schmerzen;0;1;0;0;0;0;0;1;0;0
erreichen;1;0;0;0;0;0;1;0;0;1
Leistung;1;0;0;1;0;0;1;0;0;1
Schmerz;0;1;0;0;0;0;0;1;0;0
Säure;0;1;0;0;0;0;0;0;0;0
Säure;0;0;0;0;0;0;0;0;0;0
anerkennen;0;0;0;0;0;0;0;0;0;0
anerkannt;0;0;0;0;0;0;0;0;0;0
Wissen;1;0;0;0;0;0;0;0;0;0
Gipfel;0;0;0;0;0;0;0;0;0;0
akustisch;0;0;0;0;0;0;0;0;0;0
Akustik;0;0;0;0;0;0;0;0;0;0
kennen;0;0;0;0;0;0;0;0;0;0
Bekanntschaft;0;0;0;0;0;0;0;0;0;0
bekannt;0;0;0;0;0;0;0;0;0;0
Einwilligung;0;0;0;0;0;0;0;0;0;0
erwerben;1;0;0;0;0;0;0;0;0;0
erwerben;1;0;0;1;0;0;0;0;0;0
Erwerb;0;0;0;0;0;0;0;0;0;0
Akquisitionen;0;0;0;0;0;0;0;0;0;0
Anbaufläche;0;0;0;0;0;0;0;0;0;0
Hektar;0;0;0;0;0;0;0;0;0;0
Akrobat;1;0;0;0;0;1;1;0;0;1
Handlung;0;0;0;0;0;0;0;0;0;0
Schauspielkunst;0;0;0;0;0;0;0;0;0;0
Aktion;1;0;0;0;0;0;0;0;0;0
umsetzbar;0;1;1;0;1;0;0;0;0;0
aktiv;0;0;0;0;0;0;0;0;0;0
Aktivität;0;0;0;0;0;0;0;0;0;0
Schauspieler;0;0;0;0;0;0;0;0;0;0
tatsächlich;1;0;0;0;0;0;0;0;0;0
Wirklichkeit;0;0;0;0;0;0;0;0;0;0
Aktuar;0;0;0;0;0;0;0;0;0;0
Schärfe;1;0;0;0;0;0;0;0;0;0
Scharfsinn;1;0;0;0;0;0;0;0;0;0
Akupunktur;0;0;0;0;0;0;0;0;0;0
akut;0;0;0;0;0;0;0;0;0;0
Sprichwort;0;0;0;0;0;0;0;0;0;0
unnachgiebig;0;0;0;0;0;0;0;0;0;0
sich anpassen;1;0;0;0;0;0;0;0;0;0
anpassungsfähig;1;0;0;0;0;0;0;0;0;0
hinzufügen;0;0;0;0;0;0;0;0;0;0
hinzugefügt;0;0;0;0;0;0;0;0;0;0
Nachtrag;0;0;0;0;0;0;0;0;0;0
Addierer;0;1;1;0;1;1;0;1;0;0
Sucht;0;1;0;0;0;0;0;0;0;0
Zusatz;0;0;0;0;0;0;0;0;0;0
zusätzlich;0;0;0;0;0;0;0;0;0;0
Zusatzstoff;0;0;0;0;0;0;0;0;0;0
die Anschrift;0;0;0;0;0;0;0;0;0;0
Adressat;0;0;0;0;0;0;0;0;0;0
Adressen;1;0;0;1;0;0;0;0;0;0
geschickt;1;0;0;0;0;0;0;0;0;0
Angemessenheit;1;0;0;0;0;0;0;0;0;0
angemessen;0;0;0;0;0;0;0;0;0;0
haften;0;0;0;0;0;0;0;0;0;0
Adhärenz;0;0;0;0;0;0;0;0;0;0
Anhänger;0;0;0;0;0;0;0;0;0;0
haftend;0;0;0;0;0;0;0;0;0;1
Adhäsion;0;0;0;0;0;0;0;0;0;0
Klebstoff;0;0;0;0;0;0;0;0;0;0
Adieu;0;0;0;0;0;0;0;0;0;0
fett;0;1;0;0;0;0;0;0;0;0
Nachbarschaft;0;0;0;0;0;0;0;0;0;0
benachbart;0;0;0;0;0;0;0;0;0;0
Adjektiv;0;0;0;0;0;0;0;0;0;0
angrenzend;0;0;0;0;0;0;0;0;0;0
vertagen;0;0;0;0;0;0;0;0;0;0
Unterbrechung;0;0;0;0;0;0;0;0;0;0
entscheiden;0;1;0;0;0;1;0;0;0;0
Entscheidung;0;0;0;0;0;0;0;0;0;0
Zusatz;1;0;0;0;0;0;0;0;0;0
anpassen;0;0;0;0;0;0;0;0;0;0
Einstellung;0;0;0;0;0;0;0;0;0;0
Hilfsstoff;0;0;0;0;0;0;0;0;0;0
verwalten;0;0;0;0;0;0;0;0;0;0
Verwaltung;0;0;0;0;0;0;0;0;0;0
administrativ;0;0;0;0;0;0;0;0;0;1
bewundernswert;1;0;0;0;0;0;1;0;0;1
Admiral;1;0;0;0;0;0;0;0;0;1
Admiralität;0;0;0;0;0;0;0;0;0;0
Eintritt;1;0;0;0;0;0;1;0;0;1
bewundern;1;0;0;0;0;0;0;0;0;1
Bewunderer;1;0;0;0;0;0;0;0;0;0
Zulässigkeit;0;0;0;0;0;0;0;0;0;0
zulässig;1;0;0;0;0;0;0;0;0;1
Eintritt;0;0;0;0;0;0;0;0;0;0
zugeben;0;0;0;0;0;0;0;0;0;0
Zulassung;0;0;0;0;0;0;0;0;0;0
zugelassen;0;0;0;0;0;0;0;0;0;0
zugeben;0;0;0;0;0;0;0;0;0;0
Beimischung;0;0;0;0;0;0;0;0;0;0
Ermahnung;0;1;0;0;0;1;0;0;0;0
umständlich;0;0;0;0;0;0;0;0;0;0
Adobe;0;0;0;0;0;0;0;0;0;0
Jugend;0;0;0;0;0;0;0;0;0;0
Jugendlicher;0;0;0;0;0;0;0;0;0;0
adoptieren;0;0;0;0;0;0;0;0;0;0
Annahme;0;0;0;0;0;0;0;0;0;0
bezaubernd;1;0;0;0;0;0;1;0;0;0
Anbetung;1;0;0;0;0;0;1;0;0;1
verehren;1;0;0;1;0;0;1;0;0;1
schmücken;0;0;0;0;0;0;0;0;0;0
Schmuck;0;0;0;0;0;0;0;0;0;0
treiben;0;1;0;1;0;1;0;1;0;0
Erwachsene;0;0;0;0;0;0;0;0;0;0
verfälscht;0;1;0;0;0;0;0;0;0;0
Ehebruch;0;1;0;0;1;0;0;1;0;0
Vorauszahlung;1;0;0;1;0;1;1;0;1;0
fortschrittlich;1;0;0;0;0;0;0;0;0;0
Förderung;1;0;0;0;0;0;0;0;0;0
fortschreitend;0;0;0;0;0;0;0;0;0;0
Vorteil;1;0;0;0;0;0;0;0;0;0
vorteilhaft;1;0;0;0;0;0;0;0;0;0
Advent;1;0;0;1;0;0;1;0;0;1
Abenteuer;1;0;0;1;0;0;0;0;0;0
Abenteurer;0;0;0;0;0;0;0;0;0;0
abenteuerlich;1;0;0;0;0;0;0;0;0;0
Gegner;0;1;1;0;0;0;0;0;0;0
nachteilig;0;1;1;0;1;1;0;1;0;0
Unglück;0;1;1;0;0;1;0;1;0;0
werben;0;0;0;0;0;0;0;0;0;0
Anzeige;0;0;0;0;0;0;0;0;0;0
Rat;0;0;0;0;0;0;0;0;0;1
ratsam;1;0;0;0;0;0;0;0;0;1
beraten;1;0;0;0;0;0;0;0;0;1
geraten;0;0;0;0;0;0;0;0;0;1
Beratung;0;0;0;0;0;0;0;0;0;0
Berater;1;0;0;0;0;0;0;0;0;1
Interessenvertretung;1;0;1;1;0;0;1;0;0;1
Fürsprecher;0;0;0;0;0;0;0;0;0;1
Ägide;0;0;0;0;0;0;0;0;0;0
Belüftung;0;0;0;0;0;0;0;0;0;0
Antenne;0;0;0;0;0;0;0;0;0;0
Flugplatz;0;0;0;0;0;0;0;0;0;0
Aerodynamik;0;0;0;0;0;0;0;0;0;0
Luftfahrt;0;0;0;0;0;0;0;0;0;0
Flugzeug;0;0;0;0;0;0;0;0;0;0
ästhetisch;1;0;0;0;0;0;0;0;0;0
Ästhetik;1;0;0;0;0;0;1;0;0;0
Ätiologie;0;0;0;0;0;0;0;0;0;0
weit;0;0;0;0;0;0;0;0;0;0
freundlich;1;0;0;0;0;0;0;0;0;0
Affäre;0;0;0;0;0;0;0;0;0;0
beeinflussen;0;0;0;0;0;0;0;0;0;0
Zuneigung;1;0;0;0;0;0;1;0;0;1
Neigungen;0;0;0;0;0;0;0;0;0;0
affiche;0;0;0;0;0;0;0;0;0;0
eidesstattliche Erklärung;0;0;0;0;0;0;0;0;0;0
angeschlossen;1;0;0;0;0;0;0;0;0;0
Zugehörigkeit;0;0;0;0;0;0;0;0;0;0
Affinität;0;0;0;0;0;0;0;0;0;0
bestätigen;1;0;0;0;0;0;0;0;0;1
Bejahung;1;0;0;0;0;0;0;0;0;0
positiv;1;0;0;0;0;0;0;0;0;0
bejahend;1;0;0;0;0;0;0;0;0;1
Affix;0;0;0;0;0;0;0;0;0;0
quälen;0;1;0;0;0;1;0;1;0;0
geplagt;0;1;0;0;0;0;0;0;0;0
Gebrechen;0;1;0;0;1;1;0;1;0;0
Wohlstand;1;0;0;0;0;0;1;0;0;0
wohlhabend;1;0;0;0;0;0;0;0;0;0
sich leisten;1;0;0;0;0;0;0;0;0;0
Beleidigung;0;1;1;0;1;1;0;1;1;0
weg;0;0;0;0;0;0;0;0;0;0
Vor;0;0;0;0;0;0;0;0;0;0
vorgenannten;0;0;0;0;0;0;0;0;0;0
oben gesagt;0;0;0;0;0;0;0;0;0;0
besorgt;0;1;0;0;0;1;0;0;0;0
erneut;0;0;0;0;0;0;0;0;0;0
achtern;0;0;0;0;0;0;0;0;0;0
Nachwirkungen;0;1;1;0;1;1;0;1;0;0
Nachmittag;0;0;0;0;0;0;0;0;0;0
Nachgeschmack;0;1;0;0;0;0;0;0;0;0
nachträglich;0;0;0;0;0;0;0;0;0;0
Aga;1;0;0;0;0;1;0;0;0;1
Achat;0;0;0;0;0;0;0;0;0;0
das Alter;0;0;0;0;0;0;0;0;0;0
alt;0;0;0;0;0;0;0;0;0;0
Agentur Agentur;0;0;0;0;0;0;0;0;0;0
Agent;0;0;0;0;0;0;0;0;0;0
Agglomeration;0;0;0;0;0;0;0;0;0;0
verschärft;0;1;1;0;0;0;0;0;0;0
erschwerend;0;1;1;0;0;0;0;1;0;0
Verschlimmerung;0;1;1;0;1;0;0;0;0;0
Aggregat;0;0;0;0;0;0;0;0;0;0
Anhäufung;0;0;0;0;0;0;0;0;0;0
Aggression;0;1;1;0;0;1;0;0;0;0
aggressiv;0;1;1;0;0;1;0;0;0;0
Aggressor;0;1;1;0;0;1;0;0;0;0
entsetzt;0;1;0;0;1;1;0;0;1;0
agil;1;0;0;0;0;0;0;0;0;0
Beweglichkeit;1;0;0;0;0;0;0;0;0;0
agitiert;0;1;1;0;0;0;0;0;0;0
Agitation;0;1;1;0;0;0;0;0;0;0
agnostisch;0;0;0;0;0;0;0;0;0;0
vor;0;0;0;0;0;0;0;0;0;0
quälend;0;1;0;0;0;1;0;0;0;0
Agonie;0;1;1;0;0;1;0;1;0;0
zustimmen;1;0;0;0;0;0;0;0;0;0
angenehm;1;0;0;0;0;0;0;0;0;1
einverstanden;1;0;0;0;0;0;0;0;0;1
einverstanden;1;0;0;0;0;0;0;0;0;1
Zustimmung;1;0;0;0;0;0;0;0;0;1
landwirtschaftlich;0;0;0;0;0;0;0;0;0;0
Landwirtschaft;1;0;0;0;0;0;0;0;0;0
auf Grund;0;1;0;0;0;0;0;0;0;0
agua;0;0;0;0;0;0;0;0;0;0
voraus;1;0;0;0;0;0;0;0;0;0
Hilfe;1;0;0;0;0;0;0;0;0;0
helfen;1;0;0;0;0;0;0;0;0;0
weh;0;1;0;0;0;0;0;1;0;0
krank;0;1;0;0;0;1;0;1;0;0
Leiden;0;0;0;0;0;0;0;0;0;0
Ziel;0;0;0;0;0;0;0;0;0;0
ziellos;0;1;0;0;0;0;0;0;0;0
Luft;0;0;0;0;0;0;0;0;0;0
Airbag;0;0;0;0;0;0;0;0;0;0
Luftbrücke;0;0;0;0;0;0;0;0;0;0
Fluggesellschaft;0;0;0;0;0;0;0;0;0;0
Flieger;0;0;0;0;0;0;0;0;0;0
Flugzeug;0;0;0;0;0;0;0;0;0;0
Flughafen;0;0;0;1;0;0;0;0;0;0
Lüfte;0;1;0;0;1;0;0;0;0;0
Luftschiff;0;0;0;0;0;0;0;0;0;0
Gang;0;0;0;0;0;0;0;0;0;0
ait;0;0;0;0;0;0;0;0;0;0
angelehnt;0;0;0;0;0;0;0;0;0;0
ähnlich;0;0;0;0;0;0;0;0;0;1
Alabaster;1;0;0;0;0;0;0;0;0;0
Alarm;0;1;0;0;0;1;0;0;1;0
alarmierend;0;1;0;0;0;1;0;0;1;0
alb;0;0;0;0;0;0;0;0;0;1
Album;0;0;0;0;0;0;0;0;0;0
Alchimie;0;0;0;0;0;0;0;0;0;0
Alkohol;0;0;0;0;0;0;0;0;0;0
Alkoholismus;0;1;1;0;1;1;0;1;0;0
Alkoven;0;0;0;0;0;0;0;0;0;0
Alarm;0;0;0;0;0;0;0;0;0;0
Wachsamkeit;1;0;0;1;0;1;0;0;1;0
Warnungen;0;0;0;1;0;1;0;0;1;0
Alfalfa;0;0;0;0;0;0;0;0;0;0
Algebra;0;0;0;0;0;0;0;0;0;0
algebraisch;0;0;0;0;0;0;0;0;0;0
Algorithmus;0;0;0;0;0;0;0;0;0;0
Alibi;0;0;0;0;0;0;0;0;0;0
Außerirdischer;0;1;0;0;1;1;0;0;0;0
entfremden;0;1;1;0;1;0;0;0;0;0
entfremdet;0;1;0;0;0;0;0;1;0;0
Entfremdung;0;1;1;0;1;1;0;1;0;0
aussteigen;0;0;0;0;0;0;0;0;0;0
ausgerichtet;0;0;0;0;0;0;0;0;0;0
Ausrichtung;0;0;0;0;0;0;0;0;0;0
wie;0;0;0;0;0;0;0;0;0;0
Ernährung;1;0;0;0;0;0;0;0;0;0
Alimente;0;1;0;0;0;0;0;0;0;0
aliquot;0;0;0;0;0;0;0;0;0;0
am Leben;1;0;0;1;0;0;1;0;0;1
Alkali;0;0;0;0;0;0;0;0;0;0
Alkaloide;0;0;0;0;0;0;0;0;0;0
zerstreuen;1;0;0;0;0;0;0;0;0;0
Behauptung;0;1;1;0;0;0;0;0;0;0
behaupten;0;1;0;0;0;0;0;0;0;0
angeblich angeblich;0;0;0;0;0;0;0;0;0;0
Treue;1;0;0;0;0;0;0;0;0;1
allegorisch;0;0;0;0;0;0;0;0;0;0
Allegorie;0;0;0;0;0;0;0;0;0;0
allegro;1;0;0;0;0;0;0;0;0;0
lindern;1;0;0;0;0;0;0;0;0;0
Linderung;1;0;0;0;0;0;0;0;0;0
Gasse;0;0;0;0;0;0;0;0;0;0
Allianz;0;0;0;0;0;0;0;0;0;1
verbündet;1;0;0;0;0;0;0;0;0;1
Alligator;0;0;0;0;0;0;0;0;0;0
zuordnen;0;0;0;0;0;0;0;0;0;0
Zuweisung;0;0;0;0;0;0;0;0;0;0
zuteilen;0;0;0;0;0;0;0;0;0;0
Zuteilung;0;0;0;0;0;0;0;0;0;0
zulässig;1;0;0;0;0;0;0;0;0;0
Beihilfe;0;0;0;0;0;0;0;0;0;0
erlaubt;0;0;0;0;0;0;0;0;0;0
Legierung;0;0;0;0;0;0;0;0;0;0
locken;1;0;0;1;0;0;1;0;1;0
verlockend;1;0;0;0;0;0;0;0;0;0
Anspielung;0;0;0;0;0;0;0;0;0;0
alluvial;0;0;0;0;0;0;0;0;0;0
Verbündete;1;0;0;0;0;0;0;0;0;1
Almanach;0;0;0;0;0;0;0;0;0;0
allmächtig;1;0;0;0;0;0;0;0;0;0
oben;0;0;0;0;0;0;0;0;0;0
Aha;1;0;0;1;0;0;1;0;0;0
neben;0;0;0;0;0;0;0;0;0;0
distanziert;0;1;0;0;0;0;0;0;0;0
laut;0;0;0;0;0;0;0;0;0;0
Alphabet;0;0;0;0;0;0;0;0;0;0
alphabetisch;0;0;0;0;0;0;0;0;0;0
Altar;0;0;0;0;0;0;0;0;0;0
ändern;0;0;0;0;0;0;0;0;0;0
Änderung;0;0;0;0;0;0;0;0;0;0
Auseinandersetzung;0;1;1;0;0;0;0;0;0;0
verändert;0;0;0;0;0;0;0;0;0;0
wechseln;0;0;0;0;0;0;0;0;0;0
Alternative;0;0;0;0;0;0;0;0;0;0
Höhe;0;0;0;0;0;0;0;0;0;0
Alt;0;0;0;0;0;0;0;0;0;0
insgesamt;0;0;0;0;0;0;0;0;0;0
Absolvent;0;0;0;0;0;0;0;0;0;0
Alveolar;0;0;0;0;0;0;0;0;0;0
Amalgam;0;0;0;0;0;0;0;0;0;0
Verschmelzung;0;0;0;0;0;0;0;0;0;0
anhäufen;0;0;0;0;0;0;0;0;0;0
Amateur;0;0;0;0;0;0;0;0;0;0
erstaunen;0;0;0;0;0;0;0;0;1;0
Staunen;0;0;0;0;0;0;0;0;0;0
erstaunlich;1;0;0;0;0;0;1;0;1;0
Botschafter;1;0;0;0;0;0;0;0;0;1
Bernstein;0;0;0;0;0;0;0;0;0;0
Umgebungs;0;0;0;0;0;0;0;0;0;0
Mehrdeutigkeit;0;0;0;0;0;0;0;0;0;0
zweideutig;0;1;0;0;0;0;0;0;0;0
Bereich;0;0;0;0;0;0;0;0;0;0
Ehrgeiz;1;0;0;1;0;0;1;0;0;1
ehrgeizig;0;0;0;0;0;0;0;0;0;0
Ambulanz;0;0;0;0;0;1;0;0;0;1
Hinterhalt;0;1;1;0;0;1;0;0;1;0
verbessern;1;0;0;0;0;0;0;0;0;0
Amen;1;0;0;0;0;0;1;0;0;1
zugänglich;1;0;0;0;0;0;0;0;0;0
ändern;1;0;0;0;0;0;0;0;0;0
Änderung;0;0;0;0;0;0;0;0;0;0
ändert;1;0;0;0;0;0;0;0;0;0
Annehmlichkeit;1;0;0;0;0;0;0;0;0;0
Amethyst;0;0;0;0;0;0;0;0;0;0
liebenswürdig;1;0;0;0;0;0;0;0;0;0
freundschaftlich;1;0;0;0;0;0;1;0;0;0
inmitten;0;0;0;0;0;0;0;0;0;0
inmitten;0;0;0;0;0;0;0;0;0;0
Ammoniak;0;0;0;0;1;0;0;0;0;0
Munition;0;0;0;0;0;0;0;0;0;0
Amnesie;0;1;0;0;0;0;0;0;0;0
Amnestie;1;0;0;0;0;0;1;0;0;0
amorph;0;0;0;0;0;0;0;0;0;0
Amortisation;0;0;0;0;0;0;0;0;0;1
Menge;0;0;0;0;0;0;0;0;0;0
Liebe;1;0;0;1;0;0;1;0;0;1
Et-Zeichen;0;0;0;0;0;0;0;0;0;0
Amphetamine;0;1;0;0;1;0;0;0;0;0
Amphibie;0;0;0;0;0;0;0;0;0;0
amphibisch;0;0;0;0;0;0;0;0;0;0
Amphitheater;0;0;0;0;0;0;0;0;0;0
Verstärkung Verstärkung;0;0;0;0;0;0;0;0;0;0
verstärken;0;0;0;0;0;0;0;0;0;0
Amplitude;0;0;0;0;0;0;0;0;0;0
reichlich;0;0;0;0;0;0;0;0;0;0
Amputation;0;0;0;0;0;0;0;0;0;0
Amulett;0;0;0;0;0;0;0;0;0;0
amüsieren;1;0;0;0;0;0;1;0;0;0
amüsiert;1;0;0;0;0;0;1;0;0;0
Amüsement;1;0;0;0;0;0;1;0;0;0
lustig;1;0;0;0;0;0;1;0;0;0
Ana;0;0;0;0;0;0;0;0;0;0
Anakonda;0;1;0;0;1;1;0;0;0;0
Anästhesie;0;0;0;0;0;0;0;0;0;0
Narkose;0;0;0;0;0;0;0;0;0;0
anal;0;1;0;0;0;0;0;0;0;0
Analgetikum;0;0;0;0;0;0;0;0;0;0
analog;0;0;0;0;0;0;0;0;0;0
analog;0;0;0;0;0;0;0;0;0;0
Analogie;0;0;0;0;0;0;0;0;0;0
Analyse;0;0;0;0;0;0;0;0;0;0
Analytiker;1;0;0;1;0;0;0;0;0;1
analytisch;0;0;0;0;0;0;0;0;0;0
analysieren;0;0;0;0;0;0;0;0;0;0
Analysator;0;0;0;0;0;0;0;0;0;0
Anarchismus;0;1;1;0;0;1;0;0;0;0
Anarchist;0;1;1;0;0;1;0;0;0;0
Anarchie;0;1;1;0;0;1;0;0;0;0
Anastomose;0;0;0;0;0;0;0;0;0;0
Anathema;0;1;1;0;1;1;0;1;0;0
anatomisch;0;0;0;0;0;0;0;0;0;0
Anatomie;0;0;0;0;0;0;0;0;0;0
Vorfahr;0;0;0;0;0;0;0;0;0;0
Ahnen-;0;0;0;0;0;0;0;0;0;1
Abstammung;0;0;0;0;0;0;0;0;0;0
Anker;1;0;0;0;0;0;0;0;0;0
Anchorage;1;0;0;0;0;0;0;1;0;0
alt;0;1;0;0;0;0;0;0;0;0
untergeordnet;0;0;0;0;0;0;0;0;0;0
Androgen;0;0;0;0;0;0;0;0;0;0
Anemone;0;0;0;0;0;0;0;0;0;0
ein neuer;0;0;0;0;0;0;0;0;0;0
Engel;1;0;0;1;0;0;1;0;1;1
engelhaft;1;0;0;0;0;0;1;0;0;1
Wut;0;1;1;0;0;0;0;0;0;0
Angina;0;1;0;0;0;1;0;0;0;0
Angiographie;0;0;0;0;0;0;0;0;0;0
Winkel;0;0;0;0;0;0;0;0;0;0
Angeln;0;1;0;1;0;0;0;0;0;0
wütend;0;1;1;0;1;0;0;0;0;0
Pein;0;1;1;0;0;1;0;1;0;0
eckig;0;0;0;0;0;0;0;0;0;0
wasserfrei;0;0;0;0;0;0;0;0;0;0
Tier;0;0;0;0;0;0;0;0;0;0
animieren;1;0;0;0;0;0;0;0;0;0
animiert;1;0;0;0;0;0;1;0;0;0
Animation;0;0;0;0;0;0;0;0;0;0
Feindseligkeit;0;1;1;0;1;1;0;1;0;0
Animus;0;1;1;0;0;0;0;0;0;0
Knöchel Knöchel;0;0;0;0;0;0;0;0;0;0
Annalen;0;0;0;0;0;0;0;0;0;0
annektieren;0;0;0;0;0;0;0;0;0;0
Annexion;0;0;0;0;0;0;0;0;0;0
Nebengebäude;0;0;0;0;0;0;0;0;0;0
vernichten;0;1;1;0;0;1;0;0;0;0
vernichtet;0;1;1;0;0;1;0;1;0;0
